date,result,fighter,opponent,division,stance,dob,method,total_comp_time,round,time,reach,height,total_strikes_accuracy
1997-02-07,1,Vitor Belfort,Tra Telligman,Heavyweight,Southpaw,1977-04-01,KO/TKO,77,1,1:17,74.0,72.0,65.71428571428571
1997-02-07,1,Vitor Belfort,Scott Ferrozzo,Heavyweight,Southpaw,1977-04-01,KO/TKO,43,1,0:43,74.0,72.0,75.0
1997-02-07,1,Mark Coleman,Dan Severn,Heavyweight,Orthodox,1964-12-20,SUB,177,1,2:57,75.0,73.0,57.14285714285714
1997-05-30,1,Randy Couture,Tony Halme,Heavyweight,Orthodox,1963-06-22,SUB,56,1,0:56,75.0,73.0,100.0
1997-05-30,1,Randy Couture,Steven Graham,Heavyweight,Orthodox,1963-06-22,KO/TKO,193,1,3:13,75.0,73.0,89.28571428571429
1997-05-30,1,Vitor Belfort,David Abbott,Heavyweight,Southpaw,1977-04-01,KO/TKO,52,1,0:52,74.0,72.0,64.0
1997-07-27,0,Mark Coleman,Maurice Smith,Heavyweight,Orthodox,1964-12-20,U-DEC,1260,3,3:00,75.0,73.0,58.75
1997-10-17,0,Vitor Belfort,Randy Couture,Heavyweight,Southpaw,1977-04-01,KO/TKO,496,1,8:16,74.0,72.0,46.42857142857143
1997-10-17,1,Randy Couture,Vitor Belfort,Heavyweight,Orthodox,1963-06-22,KO/TKO,496,1,8:16,75.0,73.0,87.5
1997-12-21,1,Vitor Belfort,Joe Charles,Heavyweight,Southpaw,1977-04-01,SUB,243,1,4:03,74.0,72.0,0.0
1997-12-21,1,Randy Couture,Maurice Smith,Heavyweight,Orthodox,1963-06-22,M-DEC,1260,3,3:00,75.0,73.0,81.81818181818183
1998-05-15,0,Mark Coleman,Pete Williams,Heavyweight,Orthodox,1964-12-20,KO/TKO,758,2,0:38,75.0,73.0,68.35443037974683
1999-01-08,0,Mark Coleman,Pedro Rizzo,Heavyweight,Orthodox,1964-12-20,S-DEC,900,2,3:00,75.0,73.0,67.44186046511628
1999-09-24,1,Jeremy Horn,Jason Godsey,Heavyweight,Orthodox,1975-08-25,SUB,128,1,2:08,74.0,73.0,77.77777777777779
2000-09-22,1,Jeff Monson,Tim Lajcik,Heavyweight,Orthodox,1971-01-18,U-DEC,600,2,5:00,74.0,69.0,76.25
2000-11-17,1,Andrei Arlovski,Aaron Brink,Heavyweight,Orthodox,1979-02-04,SUB,55,1,0:55,77.0,75.0,50.0
2000-11-17,1,Renato Sobral,Maurice Smith,Heavyweight,Orthodox,1975-09-07,M-DEC,900,3,5:00,75.0,73.0,76.40449438202246
2000-11-17,1,Randy Couture,Kevin Randleman,Heavyweight,Orthodox,1963-06-22,KO/TKO,853,3,4:13,75.0,73.0,83.52941176470588
2001-02-23,0,Josh Barnett,Pedro Rizzo,Heavyweight,Orthodox,1977-11-10,KO/TKO,561,2,4:21,78.0,75.0,39.80582524271845
2001-05-04,1,Randy Couture,Pedro Rizzo,Heavyweight,Orthodox,1963-06-22,U-DEC,1500,5,5:00,75.0,73.0,74.61928934010153
2001-06-29,0,Andrei Arlovski,Ricco Rodriguez,Heavyweight,Orthodox,1979-02-04,KO/TKO,683,3,1:23,77.0,75.0,54.54545454545454
2001-06-29,1,Josh Barnett,Semmy Schilt,Heavyweight,Orthodox,1977-11-10,SUB,261,1,4:21,78.0,75.0,75.0
2001-11-02,1,Frank Mir,Roberto Traven,Heavyweight,Southpaw,1979-05-24,SUB,65,1,1:05,79.0,75.0,54.54545454545454
2001-11-02,1,Josh Barnett,Bobby Hoffman,Heavyweight,Orthodox,1977-11-10,KO/TKO,565,2,4:25,78.0,75.0,94.31818181818184
2001-11-02,1,Randy Couture,Pedro Rizzo,Heavyweight,Orthodox,1963-06-22,KO/TKO,802,3,3:22,75.0,73.0,88.28828828828829
2002-01-11,0,Jeff Monson,Ricco Rodriguez,Heavyweight,Orthodox,1971-01-18,KO/TKO,780,3,3:00,74.0,69.0,75.0
2002-03-22,1,Frank Mir,Pete Williams,Heavyweight,Southpaw,1979-05-24,SUB,46,1,0:46,79.0,75.0,66.66666666666666
2002-03-22,0,Andrei Arlovski,Pedro Rizzo,Heavyweight,Orthodox,1979-02-04,KO/TKO,705,3,1:45,77.0,75.0,40.0
2002-03-22,0,Randy Couture,Josh Barnett,Heavyweight,Orthodox,1963-06-22,KO/TKO,575,2,4:35,75.0,73.0,89.1891891891892
2002-03-22,1,Josh Barnett,Randy Couture,Heavyweight,Orthodox,1977-11-10,KO/TKO,575,2,4:35,78.0,75.0,62.35294117647059
2002-07-13,0,Frank Mir,Ian Freeman,Heavyweight,Southpaw,1979-05-24,KO/TKO,275,1,4:35,79.0,75.0,60.0
2002-09-27,1,Tim Sylvia,Wesley Correira,Heavyweight,Orthodox,1976-03-05,KO/TKO,403,2,1:43,80.0,80.0,66.8103448275862
2002-09-27,0,Randy Couture,Ricco Rodriguez,Heavyweight,Orthodox,1963-06-22,KO/TKO,1384,5,3:04,75.0,73.0,65.78947368421053
